bookID;bookTitle;Date;Location
1807;In Sphaeram Ioannis de Sacro Bosco commentarius;1581-01-01;Rome
1746;In Sphaeram Ioannis de Sacro Bosco. Commentarius;1593-01-01;Lyon
1810;In Sphaeram Ioannis de Sacro Bosco. Commentarius;1594-01-01;Lyon
1806;In Sphaeram Ioannis de Sacro Bosco commentarius;1570-01-01;Rome
1808;In Sphaeram Ioannis de Sacro Bosco commentarius;1585-01-01;Rome
1822;In Sphaeram Ioannis de Sacro Bosco, Commentarius;1618-01-01;Lyon
1819;Christophori Clavii Bambergensis e Societate Iesu Operum Mathematicorum;1611-01-01;Mainz
1814;In Sphaeram Ioannis de Sacro Bosco Commentarius;1603-01-01;Venice
1812;In Sphæram Ioannis de Sacro Bosco Commentarius;1601-01-01;Venice
1809;In Sphaeram Ioannis de Sacro Bosco commentarius;1591-01-01;Venice
2278;In Sphaeram Ioannis de Sacro Bosco Commentarius;1601-01-01;Venice
1815;In Sphaeram Ioannis de Sacro Bosco. Commentarius;1606-01-01;Rome
1817;In Sphaeram Ioannis de Sacro Bosco. Commentarius;1607-01-01;Rome
1755;In Sphaeram Ioannis de Sacro Bosco, commentarius;1607-01-01;Saint Gervais
1821;In Sphaeram Ioannis de Sacro Bosco, commentarius;1602-01-01;Saint Gervais
1818;In Sphaeram Ioannis de Sacro Bosco, commentarius;1608-01-01;Saint Gervais
2151;In Sphaeram Ioannis de Sacro Bosco, commentarius;1607-01-01;Geneva
1816;In Sphaeram Ioannis de Sacro Bosco. Commentarius;1607-01-01;Lyon
1813;In Sphaeram Ioannis de Sacro Bosco, Commentarius;1602-01-01;Lyon
1811;In sphæram Ioannis de Sacro Bosco commentarius;1596-01-01;Venice
