num_patch_id,num_page_id,number,xywh,page_url,page_id,book
0,0,NaN,"245,548,157,96",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/40.jpg,1609_sacrobosco_tractatum_1476_p41.jpg,1609_sacrobosco_tractatum_1476
1,0,NaN,"341,282,94,142",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/40.jpg,1609_sacrobosco_tractatum_1476_p41.jpg,1609_sacrobosco_tractatum_1476
2,0,NaN,"594,411,136,45",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/40.jpg,1609_sacrobosco_tractatum_1476_p41.jpg,1609_sacrobosco_tractatum_1476
3,0,NaN,"545,360,110,43",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/40.jpg,1609_sacrobosco_tractatum_1476_p41.jpg,1609_sacrobosco_tractatum_1476
4,0,NaN,"345,874,113,101",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/40.jpg,1609_sacrobosco_tractatum_1476_p41.jpg,1609_sacrobosco_tractatum_1476
5,1,NaN,"528,814,138,149",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/27.jpg,1609_sacrobosco_tractatum_1476_p28.jpg,1609_sacrobosco_tractatum_1476
6,1,NaN,"501,538,122,139",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/27.jpg,1609_sacrobosco_tractatum_1476_p28.jpg,1609_sacrobosco_tractatum_1476
7,1,NaN,"401,768,159,37",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/27.jpg,1609_sacrobosco_tractatum_1476_p28.jpg,1609_sacrobosco_tractatum_1476
8,1,NaN,"202,504,127,30",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/27.jpg,1609_sacrobosco_tractatum_1476_p28.jpg,1609_sacrobosco_tractatum_1476
9,1,NaN,"456,465,127,55",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/27.jpg,1609_sacrobosco_tractatum_1476_p28.jpg,1609_sacrobosco_tractatum_1476
10,2,NaN,"579,577,160,81",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/18.jpg,1609_sacrobosco_tractatum_1476_p19.jpg,1609_sacrobosco_tractatum_1476
11,2,NaN,"565,600,131,98",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/18.jpg,1609_sacrobosco_tractatum_1476_p19.jpg,1609_sacrobosco_tractatum_1476
12,2,NaN,"500,822,176,111",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/18.jpg,1609_sacrobosco_tractatum_1476_p19.jpg,1609_sacrobosco_tractatum_1476
13,2,NaN,"394,758,162,76",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/18.jpg,1609_sacrobosco_tractatum_1476_p19.jpg,1609_sacrobosco_tractatum_1476
14,2,NaN,"374,573,96,120",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/18.jpg,1609_sacrobosco_tractatum_1476_p19.jpg,1609_sacrobosco_tractatum_1476
15,3,NaN,"256,404,173,103",/home/space/sphaera/sphaera_012020_all/pages/1609_sacrobosco_tractatum_1476/processed/26.jpg,1609_sacrobosco_tractatum_1476_p27.jpg,1609_sacrobosco_tractatum_1476
