xywh,element_label,page_id,book,num_page_id,num_patch_id,number
"352,845,51,36 ",24 ,1594_beyer_quaestiones_1550_p153.jpg,1594_beyer_quaestiones_1550,0,0,24 
"759,1117,48,36 ",53 ,1594_beyer_quaestiones_1550_p153.jpg,1594_beyer_quaestiones_1550,0,1,53 
"350,985,49,40 ",37 ,1594_beyer_quaestiones_1550_p153.jpg,1594_beyer_quaestiones_1550,0,2,37 
"354,1124,44,39 ",51 ,1594_beyer_quaestiones_1550_p153.jpg,1594_beyer_quaestiones_1550,0,3,51 
"498,1171,46,37 ",29 ,1594_beyer_quaestiones_1550_p153.jpg,1594_beyer_quaestiones_1550,0,4,29 
"670,1012,51,41 ",89 ,1594_beyer_quaestiones_1550_p155.jpg,1594_beyer_quaestiones_1550,1,5,89 
"335,872,47,41 ",11 ,1594_beyer_quaestiones_1550_p155.jpg,1594_beyer_quaestiones_1550,1,6,11 
"661,538,64,45 ",76 ,1594_beyer_quaestiones_1550_p155.jpg,1594_beyer_quaestiones_1550,1,7,76 
"253,686,57,44 ",54 ,1594_beyer_quaestiones_1550_p155.jpg,1594_beyer_quaestiones_1550,1,8,54 
"245,501,57,38 ",49 ,1594_beyer_quaestiones_1550_p155.jpg,1594_beyer_quaestiones_1550,1,9,49 
"380,488,53,39 ",27 ,1594_beyer_quaestiones_1550_p157.jpg,1594_beyer_quaestiones_1550,2,10,27 
"381,626,64,47 ",44 ,1594_beyer_quaestiones_1550_p157.jpg,1594_beyer_quaestiones_1550,2,11,44 
"386,394,48,41 ",35 ,1594_beyer_quaestiones_1550_p157.jpg,1594_beyer_quaestiones_1550,2,12,35 
"517,813,51,39 ",23 ,1594_beyer_quaestiones_1550_p157.jpg,1594_beyer_quaestiones_1550,2,13,23 
"748,999,61,39 ",40 ,1594_beyer_quaestiones_1550_p157.jpg,1594_beyer_quaestiones_1550,2,14,40 
"347,335,53,36 ",20 ,1594_beyer_quaestiones_1550_p78.jpg,1594_beyer_quaestiones_1550,3,15,20 
"339,805,52,42 ",30 ,1594_beyer_quaestiones_1550_p78.jpg,1594_beyer_quaestiones_1550,3,16,30 
"523,568,60,42 ",42 ,1594_beyer_quaestiones_1550_p78.jpg,1594_beyer_quaestiones_1550,3,17,42 
"541,382,45,39 ",13 ,1594_beyer_quaestiones_1550_p78.jpg,1594_beyer_quaestiones_1550,3,18,13 
"824,618,48,39 ",23 ,1594_beyer_quaestiones_1550_p78.jpg,1594_beyer_quaestiones_1550,3,19,23 
"1021,1169,52,44 ",59 ,1594_beyer_quaestiones_1550_p86.jpg,1594_beyer_quaestiones_1550,4,20,59 
"328,789,50,35 ",22 ,1594_beyer_quaestiones_1550_p86.jpg,1594_beyer_quaestiones_1550,4,21,22 
"325,1026,50,37 ",27 ,1594_beyer_quaestiones_1550_p86.jpg,1594_beyer_quaestiones_1550,4,22,27 
"700,885,45,40 ",13 ,1594_beyer_quaestiones_1550_p86.jpg,1594_beyer_quaestiones_1550,4,23,13 
"1023,979,54,41 ",29 ,1594_beyer_quaestiones_1550_p86.jpg,1594_beyer_quaestiones_1550,4,24,29 
"1386,1954,57,43 ",37 ,1624_sacrobosco_textus_1494_p21.jpg,1624_sacrobosco_textus_1494,5,25,37 
"1383,1783,58,44 ",38 ,1624_sacrobosco_textus_1494_p21.jpg,1624_sacrobosco_textus_1494,5,26,38 
"1446,1830,57,38 ",20 ,1624_sacrobosco_textus_1494_p21.jpg,1624_sacrobosco_textus_1494,5,27,20 
"1170,1905,66,41 ",48 ,1624_sacrobosco_textus_1494_p21.jpg,1624_sacrobosco_textus_1494,5,28,48 
"1234,1780,56,41 ",30 ,1624_sacrobosco_textus_1494_p21.jpg,1624_sacrobosco_textus_1494,5,29,30 
"974,1849,55,39 ",30 ,1624_sacrobosco_textus_1494_p22.jpg,1624_sacrobosco_textus_1494,6,30,30 
"713,2019,52,39 ",61 ,1624_sacrobosco_textus_1494_p22.jpg,1624_sacrobosco_textus_1494,6,31,61 
"914,1976,56,41 ",40 ,1624_sacrobosco_textus_1494_p22.jpg,1624_sacrobosco_textus_1494,6,32,40 
"909,1721,54,40 ",38 ,1624_sacrobosco_textus_1494_p22.jpg,1624_sacrobosco_textus_1494,6,33,38 
"710,1891,53,39 ",59 ,1624_sacrobosco_textus_1494_p22.jpg,1624_sacrobosco_textus_1494,6,34,59 
"1156,2204,58,45 ",76 ,1624_sacrobosco_textus_1494_p23.jpg,1624_sacrobosco_textus_1494,7,35,76 
"1153,2031,58,42 ",55 ,1624_sacrobosco_textus_1494_p23.jpg,1624_sacrobosco_textus_1494,7,36,55 
"1377,1897,60,41 ",38 ,1624_sacrobosco_textus_1494_p23.jpg,1624_sacrobosco_textus_1494,7,37,38 
"1251,1816,69,41 ",44 ,1624_sacrobosco_textus_1494_p23.jpg,1624_sacrobosco_textus_1494,7,38,44 
"1387,2071,64,41 ",34 ,1624_sacrobosco_textus_1494_p23.jpg,1624_sacrobosco_textus_1494,7,39,34 
"738,1783,57,43 ",51 ,1624_sacrobosco_textus_1494_p37.jpg,1624_sacrobosco_textus_1494,8,40,51 
"1276,1854,51,41 ",58 ,1624_sacrobosco_textus_1494_p37.jpg,1624_sacrobosco_textus_1494,8,41,58 
"674,1656,51,39 ",14 ,1624_sacrobosco_textus_1494_p37.jpg,1624_sacrobosco_textus_1494,8,42,14 
"681,1877,51,40 ",27 ,1624_sacrobosco_textus_1494_p37.jpg,1624_sacrobosco_textus_1494,8,43,27 
"677,1741,51,40 ",18 ,1624_sacrobosco_textus_1494_p37.jpg,1624_sacrobosco_textus_1494,8,44,18 
"633,812,56,47 ",36 ,1626_sacrobosco_opusculum_1494_p77.jpg,1626_sacrobosco_opusculum_1494,9,45,36 
"634,1151,57,45 ",60 ,1626_sacrobosco_opusculum_1494_p77.jpg,1626_sacrobosco_opusculum_1494,9,46,60 
"625,727,62,44 ",24 ,1626_sacrobosco_opusculum_1494_p77.jpg,1626_sacrobosco_opusculum_1494,9,47,24 
"898,1069,54,42 ",17 ,1626_sacrobosco_opusculum_1494_p77.jpg,1626_sacrobosco_opusculum_1494,9,48,17 
"707,990,57,43 ",50 ,1626_sacrobosco_opusculum_1494_p77.jpg,1626_sacrobosco_opusculum_1494,9,49,50 
"2813,3308,150,115 ",54 ,1632_sacrobosco_opusculum_1498_p78.jpg,1632_sacrobosco_opusculum_1498,10,50,54 
"3026,3402,140,106 ",40 ,1632_sacrobosco_opusculum_1498_p78.jpg,1632_sacrobosco_opusculum_1498,10,51,40 
"3018,3682,127,105 ",35 ,1632_sacrobosco_opusculum_1498_p78.jpg,1632_sacrobosco_opusculum_1498,10,52,35 
"2864,4348,147,96 ",66 ,1632_sacrobosco_opusculum_1498_p78.jpg,1632_sacrobosco_opusculum_1498,10,53,66 
"2825,3593,135,99 ",60 ,1632_sacrobosco_opusculum_1498_p78.jpg,1632_sacrobosco_opusculum_1498,10,54,60 
"1266,2576,101,69 ",64 ,1640_sacrobosco_introductorium_1503_p107.jpg,1640_sacrobosco_introductorium_1503,11,55,64 
"1267,2124,97,59 ",56 ,1640_sacrobosco_introductorium_1503_p107.jpg,1640_sacrobosco_introductorium_1503,11,56,56 
"1256,2255,90,60 ",60 ,1640_sacrobosco_introductorium_1503_p107.jpg,1640_sacrobosco_introductorium_1503,11,57,60 
"1757,2444,89,67 ",20 ,1640_sacrobosco_introductorium_1503_p107.jpg,1640_sacrobosco_introductorium_1503,11,58,20 
"1290,1924,97,73 ",48 ,1640_sacrobosco_introductorium_1503_p107.jpg,1640_sacrobosco_introductorium_1503,11,59,48 
"1424,2018,73,67 ",12 ,1640_sacrobosco_introductorium_1503_p25.jpg,1640_sacrobosco_introductorium_1503,12,60,12 
"1587,2526,96,79 ",34 ,1640_sacrobosco_introductorium_1503_p25.jpg,1640_sacrobosco_introductorium_1503,12,61,34 
"1703,2460,92,64 ",26 ,1640_sacrobosco_introductorium_1503_p25.jpg,1640_sacrobosco_introductorium_1503,12,62,26 
"1572,2271,88,66 ",20 ,1640_sacrobosco_introductorium_1503_p25.jpg,1640_sacrobosco_introductorium_1503,12,63,20 
"1586,2013,65,73 ",13 ,1640_sacrobosco_introductorium_1503_p25.jpg,1640_sacrobosco_introductorium_1503,12,64,13 
"1376,1005,57,51 ",30 ,1642_sacrobosco_opus_1508_p34.jpg,1642_sacrobosco_opus_1508,13,65,30 
"1335,1311,74,56 ",59 ,1642_sacrobosco_opus_1508_p34.jpg,1642_sacrobosco_opus_1508,13,66,59 
"1371,1105,62,57 ",35 ,1642_sacrobosco_opus_1508_p34.jpg,1642_sacrobosco_opus_1508,13,67,35 
"1238,1253,78,64 ",64 ,1642_sacrobosco_opus_1508_p34.jpg,1642_sacrobosco_opus_1508,13,68,64 
"1370,847,56,58 ",50 ,1642_sacrobosco_opus_1508_p34.jpg,1642_sacrobosco_opus_1508,13,69,50 
"1016,2205,80,62 ",43 ,1646_torre_tractado_1510_p46.jpg,1646_torre_tractado_1510,14,70,43 
"1034,1079,71,55 ",28 ,1646_torre_tractado_1510_p46.jpg,1646_torre_tractado_1510,14,71,28 
"1029,1307,61,53 ",31 ,1646_torre_tractado_1510_p46.jpg,1646_torre_tractado_1510,14,72,31 
"1020,1699,74,58 ",37 ,1646_torre_tractado_1510_p46.jpg,1646_torre_tractado_1510,14,73,37 
"388,1528,72,62 ",15 ,1646_torre_tractado_1510_p46.jpg,1646_torre_tractado_1510,14,74,15 
"1269,1095,77,60 ",34 ,1646_torre_tractado_1510_p47.jpg,1646_torre_tractado_1510,15,75,34 
"1262,874,84,56 ",30 ,1646_torre_tractado_1510_p47.jpg,1646_torre_tractado_1510,15,76,30 
"619,2097,68,52 ",22 ,1646_torre_tractado_1510_p47.jpg,1646_torre_tractado_1510,15,77,22 
"615,1545,62,57 ",13 ,1646_torre_tractado_1510_p47.jpg,1646_torre_tractado_1510,15,78,13 
"615,1378,71,51 ",10 ,1646_torre_tractado_1510_p47.jpg,1646_torre_tractado_1510,15,79,10 
"650,1056,86,59 ",53 ,1646_torre_tractado_1510_p66.jpg,1646_torre_tractado_1510,16,80,53 
"652,944,83,57 ",16 ,1646_torre_tractado_1510_p66.jpg,1646_torre_tractado_1510,16,81,16 
"654,573,85,54 ",18 ,1646_torre_tractado_1510_p66.jpg,1646_torre_tractado_1510,16,82,18 
"654,733,91,62 ",53 ,1646_torre_tractado_1510_p66.jpg,1646_torre_tractado_1510,16,83,53 
"645,1381,92,53 ",40 ,1646_torre_tractado_1510_p66.jpg,1646_torre_tractado_1510,16,84,40 
"1279,1290,83,61 ",53 ,1646_torre_tractado_1510_p73.jpg,1646_torre_tractado_1510,17,85,53 
"1165,1076,76,54 ",20 ,1646_torre_tractado_1510_p73.jpg,1646_torre_tractado_1510,17,86,20 
"1279,1118,83,57 ",16 ,1646_torre_tractado_1510_p73.jpg,1646_torre_tractado_1510,17,87,16 
"1275,1565,80,53 ",44 ,1646_torre_tractado_1510_p73.jpg,1646_torre_tractado_1510,17,88,44 
"1270,1952,74,58 ",39 ,1646_torre_tractado_1510_p73.jpg,1646_torre_tractado_1510,17,89,39 
"1281,1657,75,57 ",59 ,1646_torre_tractado_1510_p75.jpg,1646_torre_tractado_1510,18,90,59 
"833,1602,86,57 ",55 ,1646_torre_tractado_1510_p75.jpg,1646_torre_tractado_1510,18,91,55 
"841,1269,76,61 ",53 ,1646_torre_tractado_1510_p75.jpg,1646_torre_tractado_1510,18,92,53 
"831,1383,88,55 ",34 ,1646_torre_tractado_1510_p75.jpg,1646_torre_tractado_1510,18,93,34 
"1161,1375,87,64 ",21 ,1646_torre_tractado_1510_p75.jpg,1646_torre_tractado_1510,18,94,21 
"206,813,31,26 ",36 ,1656_fine_opusculum_1516_p31.jpg,1656_fine_opusculum_1516,19,95,36 
"244,846,32,20 ",20 ,1656_fine_opusculum_1516_p31.jpg,1656_fine_opusculum_1516,19,96,20 
"243,752,28,21 ",15 ,1656_fine_opusculum_1516_p31.jpg,1656_fine_opusculum_1516,19,97,15 
"282,876,33,24 ",47 ,1656_fine_opusculum_1516_p31.jpg,1656_fine_opusculum_1516,19,98,47 
"242,782,31,23 ",45 ,1656_fine_opusculum_1516_p31.jpg,1656_fine_opusculum_1516,19,99,45 
"2209,4181,107,93 ",37 ,1659_sacrobosco_sphera_1518_p169.jpg,1659_sacrobosco_sphera_1518,20,100,37 
"2325,4760,112,71 ",20 ,1659_sacrobosco_sphera_1518_p169.jpg,1659_sacrobosco_sphera_1518,20,101,20 
"1668,3412,105,89 ",51 ,1659_sacrobosco_sphera_1518_p169.jpg,1659_sacrobosco_sphera_1518,20,102,51 
"1672,2913,109,93 ",34 ,1659_sacrobosco_sphera_1518_p169.jpg,1659_sacrobosco_sphera_1518,20,103,34 
