,page_id,page_number,xywh,number,label,short_title,credited_authors,printers,publishers,place_of_publication,year_of_publication,handle
0,1594_beyer_quaestiones_1550_p153.jpg,153,"352,845,51,36 ",24,24,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
1,1594_beyer_quaestiones_1550_p153.jpg,153,"759,1117,48,36 ",53,53,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
2,1594_beyer_quaestiones_1550_p153.jpg,153,"350,985,49,40 ",37,37,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
3,1594_beyer_quaestiones_1550_p153.jpg,153,"354,1124,44,39 ",51,51,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
4,1594_beyer_quaestiones_1550_p153.jpg,153,"498,1171,46,37 ",29,29,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
5,1594_beyer_quaestiones_1550_p155.jpg,155,"670,1012,51,41 ",89,89,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
6,1594_beyer_quaestiones_1550_p155.jpg,155,"335,872,47,41 ",11,11,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
7,1594_beyer_quaestiones_1550_p155.jpg,155,"661,538,64,45 ",76,76,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
8,1594_beyer_quaestiones_1550_p155.jpg,155,"253,686,57,44 ",54,54,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
9,1594_beyer_quaestiones_1550_p155.jpg,155,"245,501,57,38 ",49,49,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
10,1594_beyer_quaestiones_1550_p157.jpg,157,"380,488,53,39 ",27,27,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
11,1594_beyer_quaestiones_1550_p157.jpg,157,"381,626,64,47 ",44,44,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
12,1594_beyer_quaestiones_1550_p157.jpg,157,"386,394,48,41 ",35,35,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
13,1594_beyer_quaestiones_1550_p157.jpg,157,"517,813,51,39 ",23,23,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
14,1594_beyer_quaestiones_1550_p157.jpg,157,"748,999,61,39 ",40,40,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
15,1594_beyer_quaestiones_1550_p78.jpg,78,"347,335,53,36 ",20,20,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
16,1594_beyer_quaestiones_1550_p78.jpg,78,"339,805,52,42 ",30,30,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
17,1594_beyer_quaestiones_1550_p78.jpg,78,"523,568,60,42 ",42,42,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
18,1594_beyer_quaestiones_1550_p78.jpg,78,"541,382,45,39 ",13,13,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
19,1594_beyer_quaestiones_1550_p78.jpg,78,"824,618,48,39 ",23,23,Quaestiones novae in libellum de sphaera Johannis de Sacro Bosco,"Sacrobosco, Johannes de;Beyer, Hartmann",Heirs of Peter I. Seitz,Heirs of Peter I. Seitz,Wittenberg,1550,hdl.handle.net/21.11103/sphaera.101121
